player,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,dribble_tackles,dribbles_vs,dribble_tackles_pct,dribbled_past,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors
Aaron Mooy,MF,Australia,32-087,1990,4.0,9,6,4,4,1,6,8,75.0,2,6,4,2,3,12,9,0
Aaron Ramsey,MF,Wales,31-350,1990,3.0,2,0,0,2,0,0,2,0.0,2,4,1,3,0,2,2,1
Abdelhamid Sabiri,MF,Morocco,26-013,1996,1.5,2,0,1,1,0,1,3,33.3,2,3,1,2,5,7,3,0
Abdelkarim Hassan,DF,Qatar,29-105,1993,3.0,7,3,5,2,0,3,4,75.0,1,3,1,2,1,8,5,0
Abderrazak Hamdallah,FW,Morocco,31-359,1990,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
Abdessamad Ezzalzouli,FW,Morocco,20-359,2001,0.9,3,2,2,1,0,1,1,100.0,0,3,0,3,0,3,3,0
Abdou Diallo,DF,Senegal,26-221,1996,3.7,2,2,2,0,0,2,2,100.0,0,1,1,0,1,3,10,0
Abdul Fatawu Issahaku,FW,Ghana,18-278,2004,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,32-044,1990,2.2,1,1,0,0,1,1,2,50.0,1,0,0,0,1,2,0,0
Abdulelah Al-Amri,DF,Saudi Arabia,25-330,1997,2.0,1,0,1,0,0,0,1,0.0,1,2,1,1,4,5,10,0
Abdulellah Al-Malki,MF,Saudi Arabia,28-061,1994,1.9,3,1,3,0,0,1,3,33.3,2,3,0,3,2,5,4,1
Abdullah Madu,DF,Saudi Arabia,29-149,1993,0.5,1,0,1,0,0,0,0,,0,3,2,1,0,1,2,0
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-193,1995,0.4,3,3,2,1,0,1,5,20.0,4,0,0,0,0,3,0,0
Abolfazl Jalali,DF,IR Iran,24-168,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
Achraf Dari,DF,Morocco,23-219,1999,0.4,1,0,1,0,0,1,1,100.0,0,2,1,1,0,1,3,0
Achraf Hakimi,DF,Morocco,24-037,1998,5.0,19,13,12,6,1,13,20,65.0,7,6,1,5,7,26,11,0
Adrien Rabiot,MF,France,27-252,1995,4.3,10,8,3,5,2,4,6,66.7,2,11,2,9,7,17,4,0
Agustín Canobbio,MF,Uruguay,24-071,1998,0.1,1,1,1,0,0,0,0,,0,1,0,1,0,1,0,0
Ahmad Nourollahi,MF,IR Iran,29-312,1993,2.5,4,3,1,1,2,1,2,50.0,1,3,0,3,6,10,8,0
Ahmed Alaaeldin,FW,Qatar,29-314,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
Aimen Dahmen,GK,Tunisia,25-317,1997,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Ajdin Hrustic,MF,Australia,26-159,1996,0.7,2,0,1,1,0,1,1,100.0,0,0,0,0,1,3,1,0
Akram Afif,FW,Qatar,26-023,1996,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
Alan Franco,MF,Ecuador,24-112,1998,0.5,1,0,0,1,0,0,1,0.0,1,0,0,0,2,3,1,0
Alejandro Balde,DF,Spain,19-054,2003,1.4,6,6,2,2,2,2,2,100.0,0,2,0,2,0,6,2,0
Aleksandar Mitrović,FW,Serbia,28-086,1994,2.9,1,0,0,0,1,1,1,100.0,0,1,0,1,0,1,1,0
Alex Sandro,DF,Brazil,31-319,1991,2.1,8,3,6,2,0,2,2,100.0,0,1,0,1,3,11,9,0
Alex Telles,DF,Brazil,29-361,1992,0.7,2,2,0,1,1,1,1,100.0,0,0,0,0,0,2,1,0
Alexander Bah,DF,Denmark,25-002,1997,0.5,4,4,2,1,1,2,3,66.7,1,2,0,2,2,6,0,0
Alexander Djiku,DF,Ghana,28-124,1994,1.1,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,9,0
Alexis Mac Allister,MF,Argentina,23-352,1998,3.9,7,3,3,4,0,4,5,80.0,1,8,0,8,2,9,2,0
Alexis Vega,FW,Mexico,25-016,1997,2.1,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0
Ali Abdi,DF,Tunisia,28-356,1993,2.1,8,5,5,2,1,3,3,100.0,0,1,0,1,4,12,13,1
Ali Al Hassan,MF,Saudi Arabia,25-282,1997,0.5,2,1,0,2,0,1,1,100.0,0,2,1,1,0,2,1,0
Ali Al-Bulaihi,DF,Saudi Arabia,33-020,1989,2.4,4,2,2,2,0,2,4,50.0,2,1,1,0,3,7,1,0
Ali Assadalla,MF,Qatar,29-326,1993,0.3,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
Ali Gholizadeh,MF,IR Iran,26-276,1996,2.2,0,0,0,0,0,0,2,0.0,2,5,0,5,3,3,2,0
Ali Karimi,MF,IR Iran,28-303,1994,1.1,3,3,3,0,0,1,2,50.0,1,0,0,0,3,6,1,0
Ali Maâloul,DF,Tunisia,32-344,1990,1.0,1,1,0,1,0,1,1,100.0,0,2,0,2,0,1,4,0
Alidu Seidu,DF,Ghana,22-190,2000,1.7,6,4,5,1,0,2,2,100.0,0,5,0,5,0,6,3,0
Alireza Beiranvand,GK,IR Iran,30-081,1992,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Alireza Jahanbakhsh,MF,IR Iran,29-122,1993,0.7,1,1,0,1,0,0,1,0.0,1,2,0,2,1,2,0,0
Alisson,GK,Brazil,30-070,1992,4.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0
Alistair Johnston,DF,Canada,24-064,1998,3.0,5,3,5,0,0,2,7,28.6,5,6,1,5,2,7,4,0
Almoez Ali,FW,Qatar,26-114,1996,2.5,1,0,0,0,1,0,2,0.0,2,0,0,0,1,2,1,0
Alphonso Davies,MF,Canada,22-039,2000,3.0,2,1,0,1,1,0,1,0.0,1,5,0,5,3,5,1,0
Amadou Onana,MF,Belgium,21-117,2001,1.2,4,1,2,2,0,1,2,50.0,1,1,0,1,0,4,0,0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-025,1995,2.9,4,0,3,0,1,1,3,33.3,2,2,0,2,5,9,2,0
