player,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes
Aaron Mooy,MF,Australia,32-087,1990,4.0,170,217,78.3,2819,951,78,90,86.7,59,73,80.8,18,31,58.1,0,0.1,0.1,-0.1,1,22,1,0,14
Aaron Ramsey,MF,Wales,31-350,1990,3.0,88,112,78.6,1796,339,37,41,90.2,27,35,77.1,18,23,78.3,0,0.0,0.1,0.0,1,7,1,0,5
Abdelhamid Sabiri,MF,Morocco,26-013,1996,1.5,36,48,75.0,568,108,23,26,88.5,6,11,54.5,6,9,66.7,1,0.9,0.1,+0.1,3,1,0,0,0
Abdelkarim Hassan,DF,Qatar,29-105,1993,3.0,122,161,75.8,2462,813,57,63,90.5,44,51,86.3,20,37,54.1,0,0.0,0.1,0.0,1,13,1,0,8
Abderrazak Hamdallah,FW,Morocco,31-359,1990,0.5,6,9,66.7,42,11,5,5,100.0,0,3,0.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0
Abdessamad Ezzalzouli,FW,Morocco,20-359,2001,0.9,6,9,66.7,65,38,5,6,83.3,1,1,100.0,0,2,0.0,0,0.1,0.1,-0.1,1,0,0,0,2
Abdou Diallo,DF,Senegal,26-221,1996,3.7,139,186,74.7,2852,1121,42,51,82.4,71,79,89.9,22,47,46.8,0,0.1,0.0,-0.1,1,10,1,1,8
Abdul Fatawu Issahaku,FW,Ghana,18-278,2004,0.0,1,1,100.0,48,36,0,0,,0,0,,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,0
Abdulaziz Hatem,MF,Qatar,32-044,1990,2.2,72,91,79.1,973,231,46,53,86.8,17,22,77.3,4,6,66.7,0,0.0,0.0,0.0,1,3,0,0,1
Abdulelah Al-Amri,DF,Saudi Arabia,25-330,1997,2.0,74,104,71.2,1677,951,26,35,74.3,26,33,78.8,22,34,64.7,0,0.0,0.0,0.0,0,13,1,0,11
Abdulellah Al-Malki,MF,Saudi Arabia,28-061,1994,1.9,66,84,78.6,1057,288,30,32,93.8,31,42,73.8,4,7,57.1,0,0.0,0.0,0.0,0,3,0,0,3
Abdullah Madu,DF,Saudi Arabia,29-149,1993,0.5,5,13,38.5,89,64,2,3,66.7,2,6,33.3,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,1
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-193,1995,0.4,8,13,61.5,79,19,5,5,100.0,2,5,40.0,0,0,,0,0.0,0.0,0.0,1,0,1,0,1
Abolfazl Jalali,DF,IR Iran,24-168,1998,0.2,20,29,69.0,311,51,9,9,100.0,11,14,78.6,0,4,0.0,0,0.0,0.0,0.0,0,1,0,0,3
Achraf Dari,DF,Morocco,23-219,1999,0.4,4,7,57.1,137,108,1,2,50.0,1,2,50.0,2,3,66.7,0,0.0,0.0,0.0,0,1,0,0,0
Achraf Hakimi,DF,Morocco,24-037,1998,5.0,191,240,79.6,2549,1209,129,145,89.0,38,49,77.6,12,22,54.5,1,0.3,0.4,+0.7,3,9,4,3,7
Adrien Rabiot,MF,France,27-252,1995,4.3,196,231,84.8,3221,735,106,118,89.8,70,78,89.7,17,22,77.3,1,0.9,0.5,+0.1,3,31,0,0,12
Agustín Canobbio,MF,Uruguay,24-071,1998,0.1,5,7,71.4,66,38,3,4,75.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0
Ahmad Nourollahi,MF,IR Iran,29-312,1993,2.5,35,54,64.8,519,150,16,21,76.2,13,21,61.9,2,6,33.3,0,0.0,0.0,0.0,0,3,0,0,3
Ahmed Alaaeldin,FW,Qatar,29-314,1993,0.1,0,2,0.0,0,0,0,0,,0,0,,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0
Aimen Dahmen,GK,Tunisia,25-317,1997,3.0,48,77,62.3,1544,1175,9,9,100.0,18,18,100.0,21,50,42.0,0,0.0,0.0,0.0,0,0,0,0,0
Ajdin Hrustic,MF,Australia,26-159,1996,0.7,17,21,81.0,263,42,10,11,90.9,4,5,80.0,1,3,33.3,0,0.0,0.0,0.0,0,1,0,0,1
Akram Afif,FW,Qatar,26-023,1996,3.0,139,165,84.2,2502,645,45,50,90.0,60,66,90.9,21,28,75.0,0,0.3,0.3,-0.3,5,10,4,1,7
Alan Franco,MF,Ecuador,24-112,1998,0.5,10,11,90.9,114,59,8,8,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1
Alejandro Balde,DF,Spain,19-054,2003,1.4,112,123,91.1,1890,293,49,56,87.5,55,57,96.5,7,9,77.8,0,0.0,0.2,0.0,0,5,2,0,4
Aleksandar Mitrović,FW,Serbia,28-086,1994,2.9,54,69,78.3,799,106,29,34,85.3,17,22,77.3,3,4,75.0,0,0.7,0.1,-0.7,2,5,1,0,2
Alex Sandro,DF,Brazil,31-319,1991,2.1,150,169,88.8,2171,680,89,93,95.7,53,61,86.9,5,11,45.5,0,0.1,0.2,-0.1,1,11,2,1,11
Alex Telles,DF,Brazil,29-361,1992,0.7,33,42,78.6,507,135,15,17,88.2,15,18,83.3,1,5,20.0,0,0.0,0.0,0.0,0,3,0,0,2
Alexander Bah,DF,Denmark,25-002,1997,0.5,37,53,69.8,580,150,15,18,83.3,19,23,82.6,1,9,11.1,0,0.1,0.1,-0.1,1,0,3,1,2
Alexander Djiku,DF,Ghana,28-124,1994,1.1,22,28,78.6,381,180,7,7,100.0,12,14,85.7,2,6,33.3,0,0.0,0.0,0.0,0,1,0,0,1
