player,position,team,age,birth_year,minutes_90s,passes,passes_live,passes_dead,passes_free_kicks,through_balls,passes_switches,crosses,throw_ins,corner_kicks,corner_kicks_in,corner_kicks_out,corner_kicks_straight,passes_completed,passes_offsides,passes_blocked
Aaron Mooy,MF,Australia,32-087,1990,4.0,217,206,11,8,0,4,10,0,3,0,3,0,170,0,4
Aaron Ramsey,MF,Wales,31-350,1990,3.0,112,101,10,3,0,3,5,0,1,0,1,0,88,1,3
Abdelhamid Sabiri,MF,Morocco,26-013,1996,1.5,48,45,3,2,0,2,1,0,1,0,0,0,36,0,1
Abdelkarim Hassan,DF,Qatar,29-105,1993,3.0,161,148,13,11,0,10,6,2,0,0,0,0,122,0,8
Abderrazak Hamdallah,FW,Morocco,31-359,1990,0.5,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0
Abdessamad Ezzalzouli,FW,Morocco,20-359,2001,0.9,9,9,0,0,0,0,1,0,0,0,0,0,6,0,0
Abdou Diallo,DF,Senegal,26-221,1996,3.7,186,165,20,12,0,4,3,8,0,0,0,0,139,1,1
Abdul Fatawu Issahaku,FW,Ghana,18-278,2004,0.0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0
Abdulaziz Hatem,MF,Qatar,32-044,1990,2.2,91,84,6,4,0,0,1,0,1,1,0,0,72,1,4
Abdulelah Al-Amri,DF,Saudi Arabia,25-330,1997,2.0,104,99,5,4,0,6,1,1,0,0,0,0,74,0,1
Abdulellah Al-Malki,MF,Saudi Arabia,28-061,1994,1.9,84,78,6,6,0,0,1,0,0,0,0,0,66,0,1
Abdullah Madu,DF,Saudi Arabia,29-149,1993,0.5,13,12,1,1,0,0,0,0,0,0,0,0,5,0,1
Abdulrahman Al-Aboud,MF,Saudi Arabia,27-193,1995,0.4,13,13,0,0,0,0,2,0,0,0,0,0,8,0,2
Abolfazl Jalali,DF,IR Iran,24-168,1998,0.2,29,21,8,1,0,0,2,7,0,0,0,0,20,0,1
Achraf Dari,DF,Morocco,23-219,1999,0.4,7,7,0,0,0,0,0,0,0,0,0,0,4,0,0
Achraf Hakimi,DF,Morocco,24-037,1998,5.0,240,186,53,6,1,2,7,47,0,0,0,0,191,1,4
Adrien Rabiot,MF,France,27-252,1995,4.3,231,228,2,0,0,1,6,2,0,0,0,0,196,1,4
Agustín Canobbio,MF,Uruguay,24-071,1998,0.1,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0
Ahmad Nourollahi,MF,IR Iran,29-312,1993,2.5,54,52,1,0,0,0,3,0,0,0,0,0,35,1,0
Ahmed Alaaeldin,FW,Qatar,29-314,1993,0.1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Aimen Dahmen,GK,Tunisia,25-317,1997,3.0,77,54,23,5,0,2,0,0,0,0,0,0,48,0,0
Ajdin Hrustic,MF,Australia,26-159,1996,0.7,21,19,2,1,0,1,1,1,0,0,0,0,17,0,0
Akram Afif,FW,Qatar,26-023,1996,3.0,165,142,22,8,1,2,13,2,6,4,1,0,139,1,4
Alan Franco,MF,Ecuador,24-112,1998,0.5,11,11,0,0,0,0,0,0,0,0,0,0,10,0,0
Alejandro Balde,DF,Spain,19-054,2003,1.4,123,111,12,1,1,0,2,11,0,0,0,0,112,0,0
Aleksandar Mitrović,FW,Serbia,28-086,1994,2.9,69,57,11,0,0,2,1,0,0,0,0,0,54,1,1
Alex Sandro,DF,Brazil,31-319,1991,2.1,169,144,24,3,0,0,4,21,0,0,0,0,150,1,2
Alex Telles,DF,Brazil,29-361,1992,0.7,42,37,5,2,0,0,3,3,0,0,0,0,33,0,0
Alexander Bah,DF,Denmark,25-002,1997,0.5,53,46,7,0,0,0,4,7,0,0,0,0,37,0,1
Alexander Djiku,DF,Ghana,28-124,1994,1.1,28,27,1,1,0,0,0,0,0,0,0,0,22,0,0
Alexis Mac Allister,MF,Argentina,23-352,1998,3.9,176,176,0,0,0,1,1,0,0,0,0,0,160,0,1
Alexis Vega,FW,Mexico,25-016,1997,2.1,56,50,6,2,2,0,6,0,4,0,3,0,40,0,2
Ali Abdi,DF,Tunisia,28-356,1993,2.1,116,87,28,0,0,0,5,27,1,1,0,0,72,1,5
Ali Al Hassan,MF,Saudi Arabia,25-282,1997,0.5,7,6,1,1,0,0,1,0,0,0,0,0,4,0,1
Ali Al-Bulaihi,DF,Saudi Arabia,33-020,1989,2.4,97,87,10,4,0,1,0,6,0,0,0,0,78,0,0
Ali Assadalla,MF,Qatar,29-326,1993,0.3,23,23,0,0,0,0,0,0,0,0,0,0,21,0,0
Ali Gholizadeh,MF,IR Iran,26-276,1996,2.2,72,66,6,0,1,2,4,3,3,2,0,0,46,0,2
Ali Karimi,MF,IR Iran,28-303,1994,1.1,45,44,1,1,0,0,2,0,0,0,0,0,34,0,2
Ali Maâloul,DF,Tunisia,32-344,1990,1.0,63,43,19,1,0,1,13,12,6,5,1,0,39,1,2
Alidu Seidu,DF,Ghana,22-190,2000,1.7,78,62,16,2,0,0,6,14,0,0,0,0,59,0,2
Alireza Beiranvand,GK,IR Iran,30-081,1992,1.2,31,22,9,0,0,0,0,0,0,0,0,0,20,0,0
Alireza Jahanbakhsh,MF,IR Iran,29-122,1993,0.7,17,14,2,1,0,0,1,0,0,0,0,0,11,1,1
Alisson,GK,Brazil,30-070,1992,4.2,93,65,28,9,0,0,0,0,0,0,0,0,80,0,1
Alistair Johnston,DF,Canada,24-064,1998,3.0,186,145,41,6,0,1,8,35,0,0,0,0,147,0,3
Almoez Ali,FW,Qatar,26-114,1996,2.5,45,42,3,0,0,0,0,0,0,0,0,0,33,0,1
Alphonso Davies,MF,Canada,22-039,2000,3.0,114,84,27,5,1,1,10,15,5,3,1,0,82,3,5
Amadou Onana,MF,Belgium,21-117,2001,1.2,64,63,0,0,1,0,0,0,0,0,0,0,58,1,0
Andre-Frank Zambo Anguissa,MF,Cameroon,27-025,1995,2.9,130,127,3,2,0,0,2,1,0,0,0,0,113,0,1
